Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2018-05-10,0,23,12.4,85,1.1,369,9.9,0.0,0.0,0.0,Spring,No Holiday,No
2018-09-18,0,0,19.5,73,1.2,1916,14.5,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,1,19.3,71,0.4,1912,13.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,2,18.8,74,0.2,1866,14.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,3,18.7,76,0.5,1916,14.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,4,18.3,78,0.4,1906,14.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,5,17.9,77,0.5,1658,13.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,6,17.7,77,0.2,1757,13.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,7,17.8,76,0.5,1729,13.5,0.08,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,8,18.7,73,0.9,1501,13.7,0.34,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,9,20.8,64,1.1,1205,13.7,1.13,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,10,22.7,54,1.0,1619,12.9,1.74,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,11,24.1,46,2.1,1678,11.7,2.03,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,12,24.7,43,1.8,1809,11.2,1.75,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,13,25.6,40,2.5,1704,10.9,2.18,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,14,26.1,37,2.3,1749,10.2,1.92,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,15,26.1,43,2.8,1785,12.5,1.62,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,16,26.4,34,2.5,1953,9.2,1.6,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,17,25.5,38,2.9,1997,10.1,0.92,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,18,24.8,48,1.4,2000,13.0,0.51,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,19,23.2,57,2.2,2000,14.2,0.03,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,20,22.6,58,1.4,2000,13.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,21,22.1,61,1.5,2000,14.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,22,21.8,65,0.3,2000,14.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-18,0,23,21.2,69,1.3,1999,15.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,0,21.0,66,0.4,2000,14.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,1,20.5,64,0.4,2000,13.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,2,20.0,70,0.2,2000,14.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,3,19.7,70,0.5,2000,14.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,4,19.5,70,0.5,2000,13.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,5,19.3,73,0.9,1782,14.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,6,19.0,76,0.3,1488,14.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,7,19.0,74,0.8,1650,14.2,0.03,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,8,19.8,71,1.1,1534,14.3,0.26,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,9,21.5,61,0.8,1774,13.6,0.92,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,10,22.9,59,1.1,1819,14.4,1.49,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,11,23.6,55,0.6,1723,14.0,1.01,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,12,24.9,51,1.2,1619,14.0,1.56,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,13,26.5,39,1.7,1560,11.4,2.15,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,14,26.1,40,1.2,1840,11.4,1.21,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,15,25.9,39,1.4,1836,10.8,0.9,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,16,25.6,41,1.2,1594,11.3,0.65,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,17,25.0,44,1.3,1883,11.8,0.36,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,18,24.0,55,2.2,1691,14.3,0.12,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,19,23.5,58,0.4,1836,14.7,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,20,22.6,67,0.3,1737,16.1,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-19,0,21,21.7,63,1.8,1078,14.3,0.0,0.1,0.0,Autumn,No Holiday,No
2018-09-19,0,22,20.9,71,1.6,1057,15.4,0.0,0.1,0.0,Autumn,No Holiday,No
2018-09-19,0,23,20.4,57,0.9,2000,11.5,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,0,17.1,52,1.4,2000,7.1,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,1,16.5,53,1.5,2000,6.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,2,16.0,56,1.5,2000,7.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,3,15.3,59,1.6,2000,7.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,4,14.7,62,1.5,2000,7.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,5,14.5,60,1.4,2000,6.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,6,14.4,61,1.2,2000,6.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,7,14.5,62,1.5,2000,7.2,0.03,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,8,15.2,58,1.7,2000,6.9,0.29,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,9,16.5,50,1.2,2000,6.0,0.66,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,10,17.4,51,1.3,1989,7.1,0.81,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,11,17.9,54,1.4,2000,8.4,0.73,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,12,19.0,52,1.2,2000,8.9,0.98,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,13,19.1,53,1.4,2000,9.2,0.76,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,14,19.4,53,1.4,2000,9.5,0.68,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,15,20.3,52,1.3,2000,10.1,1.15,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,16,21.9,46,1.2,1995,9.7,1.67,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,17,21.7,52,1.1,2000,11.4,0.79,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,18,20.4,56,1.7,2000,11.3,0.2,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,19,19.3,61,0.8,2000,11.5,0.01,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,20,18.0,67,0.7,2000,11.7,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,21,17.8,66,1.1,2000,11.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,22,17.1,70,1.0,2000,11.5,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-28,0,23,16.6,69,1.0,2000,10.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,0,18.1,60,0.2,2000,10.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,1,17.5,66,0.5,2000,11.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,2,17.3,68,0.7,2000,11.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,3,17.0,70,0.9,2000,11.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,4,16.6,73,0.3,2000,11.7,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,5,16.1,78,0.4,2000,12.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,6,15.5,80,0.4,2000,12.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,7,15.1,81,0.8,1939,11.8,0.03,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,8,16.2,69,1.1,2000,10.4,0.54,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,9,18.5,62,0.5,1847,11.0,1.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,10,20.7,62,1.3,1679,13.1,1.41,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,11,20.2,63,2.8,1195,12.9,1.25,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,12,20.8,47,3.1,1665,9.0,2.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,13,21.1,42,4.6,1954,7.6,2.74,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,14,21.1,32,4.4,1999,3.7,2.48,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,15,21.3,32,3.8,2000,3.9,2.31,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,16,21.2,28,3.2,2000,1.9,1.77,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,17,20.4,31,3.2,2000,2.6,1.06,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,18,18.3,34,3.3,2000,2.1,0.36,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,19,17.1,35,2.9,2000,1.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,20,16.0,39,2.9,2000,2.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,21,15.2,40,3.0,2000,1.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,22,14.6,46,2.2,2000,3.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-09-30,0,23,14.1,53,2.1,2000,4.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,0,13.0,72,1.8,1987,8.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,1,12.5,74,1.9,1992,7.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,2,12.3,75,1.6,1840,7.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,3,11.8,78,0.3,1843,8.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,4,11.2,80,0.3,1236,7.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,5,10.8,82,0.3,1778,7.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,6,10.6,81,0.0,1798,7.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,7,10.4,81,0.3,1956,7.2,0.02,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,8,11.2,69,0.9,1714,5.7,0.49,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,9,13.9,66,1.6,1427,7.6,1.11,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,10,16.7,58,2.4,1554,8.3,1.81,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,11,18.3,44,3.0,1878,5.8,2.35,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,12,19.4,41,3.1,1956,5.7,2.67,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,13,20.4,36,2.6,1776,4.8,2.71,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,14,21.5,39,2.5,1691,6.9,2.56,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,15,21.8,38,2.6,1913,6.8,2.22,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,16,21.7,36,3.2,1929,5.9,1.64,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,17,21.2,40,2.4,2000,7.0,0.98,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,18,19.2,48,2.2,2000,7.9,0.28,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,19,17.6,57,1.7,2000,8.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,20,16.8,62,2.0,2000,9.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,21,16.2,65,1.5,2000,9.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,22,15.5,69,0.8,1987,9.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-02,0,23,14.8,68,0.1,1994,8.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,0,15.5,65,0.8,2000,8.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,1,14.7,69,0.6,2000,9.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,2,14.0,73,0.5,1992,9.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,3,13.6,75,0.8,1960,9.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,4,13.3,75,0.4,1792,8.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,5,13.2,73,0.9,1857,8.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,6,13.2,73,1.1,1900,8.4,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,7,13.2,75,0.8,1780,8.8,0.01,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,8,13.9,68,0.9,1912,8.0,0.34,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,9,16.7,58,1.8,1821,8.3,1.22,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,10,19.0,49,1.7,1980,8.0,1.73,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,11,21.3,41,1.9,1963,7.5,2.36,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,12,23.2,38,1.7,1990,8.0,2.44,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,13,23.4,39,1.4,2000,8.6,1.72,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,14,24.3,39,1.7,2000,9.4,2.18,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,15,25.3,39,1.6,2000,10.3,1.88,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,16,25.1,41,1.0,2000,10.9,1.22,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,17,24.2,44,1.5,2000,11.1,0.58,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,18,23.1,48,1.3,2000,11.4,0.2,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,19,22.3,50,1.4,2000,11.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,20,21.3,53,1.8,2000,11.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,21,20.5,57,2.0,2000,11.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,22,19.8,60,1.6,2000,11.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-04,0,23,19.4,62,1.7,2000,11.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-10-06,0,0,16.4,94,1.8,1744,15.4,0.0,1.0,0.0,Autumn,No Holiday,No
2018-10-06,0,1,16.7,89,2.4,1814,14.8,0.0,1.0,0.0,Autumn,No Holiday,No
2018-10-06,0,2,16.9,88,2.5,2000,14.8,0.0,1.5,0.0,Autumn,No Holiday,No
2018-10-06,0,3,16.8,90,3.3,1601,15.1,0.0,2.0,0.0,Autumn,No Holiday,No
2018-10-06,0,4,16.9,89,2.7,1577,15.0,0.0,2.5,0.0,Autumn,No Holiday,No
2018-10-06,0,5,16.7,93,2.8,360,15.5,0.0,4.5,0.0,Autumn,No Holiday,No
2018-10-06,0,6,16.5,96,2.3,417,15.8,0.0,8.5,0.0,Autumn,No Holiday,No
2018-10-09,0,0,12.6,54,0.2,2000,3.5,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,1,12.0,58,0.7,2000,3.9,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,2,11.4,65,1.1,2000,5.0,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,3,11.0,66,0.9,2000,4.8,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,4,11.0,63,0.8,2000,4.2,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,5,10.8,64,0.8,2000,4.2,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,6,10.8,69,0.8,2000,5.3,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,7,10.9,70,0.7,2000,5.6,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,8,11.4,66,0.8,1991,5.2,0.18,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,9,12.8,57,1.2,1838,4.4,0.55,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,10,14.8,51,1.0,1998,4.7,1.07,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,11,16.4,45,0.7,2000,4.4,1.22,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,12,18.3,40,0.6,1995,4.4,1.82,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,13,19.2,39,1.0,2000,4.8,1.66,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,14,18.8,39,1.6,2000,4.5,0.67,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,15,18.3,40,1.2,2000,4.4,0.33,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,16,19.0,39,1.4,2000,4.7,0.89,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,17,18.4,39,2.1,2000,4.1,0.45,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,18,17.7,43,1.5,2000,4.9,0.05,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,19,17.3,47,2.2,2000,5.8,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,20,17.0,49,1.4,2000,6.1,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,21,16.8,52,1.6,2000,6.8,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,22,16.7,55,1.9,2000,7.6,0.0,0.0,0.0,Autumn,Holiday,No
2018-10-09,0,23,16.6,53,1.1,2000,6.9,0.0,0.0,0.0,Autumn,Holiday,No
2018-11-03,0,0,8.8,63,0.6,1314,2.1,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,1,8.5,61,0.2,1273,1.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,2,7.6,68,1.2,1170,2.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,3,7.1,67,0.6,1229,1.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,4,6.3,72,1.0,1104,1.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,5,6.1,75,1.0,1053,1.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,6,5.5,78,0.6,983,1.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,7,5.2,79,1.3,894,1.8,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,8,5.4,75,0.4,905,1.3,0.11,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,9,7.9,58,1.3,1033,0.1,0.8,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,10,11.0,49,0.7,957,0.6,1.4,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,11,14.5,42,1.6,890,1.7,1.85,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,12,16.5,37,1.8,1060,1.7,2.14,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,13,17.8,29,2.0,1328,-0.4,2.17,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,14,18.1,24,2.4,1594,-2.8,1.97,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,15,18.5,25,1.6,1724,-1.9,1.63,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,16,18.7,25,2.1,1605,-1.7,1.07,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,17,16.7,45,2.2,772,4.6,0.43,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,18,14.2,51,1.5,990,4.1,0.02,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,19,13.4,62,1.6,740,6.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,20,12.1,68,0.8,592,6.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,21,11.1,69,0.9,619,5.6,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,22,10.0,68,1.1,791,4.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-03,0,23,9.2,65,1.2,1064,2.9,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,0,10.0,73,0.5,700,5.3,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,1,9.8,75,0.5,668,5.5,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,2,9.7,78,0.0,619,6.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,3,9.4,81,0.3,500,6.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,4,9.1,81,0.0,493,6.0,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,5,8.8,84,0.6,420,6.2,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,6,8.5,83,0.7,409,5.7,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,7,8.3,84,0.9,422,5.7,0.0,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,8,8.7,77,0.7,529,4.8,0.11,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,9,10.1,68,0.2,578,4.4,0.33,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,10,11.7,62,0.5,521,4.6,0.77,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,11,13.0,55,1.0,488,4.1,0.84,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,12,14.5,57,0.8,373,6.0,1.08,0.0,0.0,Autumn,No Holiday,No
2018-11-06,0,13,16.1,56,1.7,328,7.3,1.54,0.0,0.0,Autumn,No Holiday,No
